remove_stop_words;permitted_tags;perform_ordering;use_word_sense;similarity_measure;similarity_threshold;type_of_replacement;jaccard_threshold;accuracy;recall;precision;f_measure
True;VERB NOUN ADJ;True;True;lin;0.1;keep_unique;0.9;0.336359175662;0.0174355248819;1.0;0.0342734737594
True;VERB NOUN ADJ;True;True;lin;0.5;keep_unique;0.1;0.62806673209;0.588812204867;0.808478802993;0.681378730559
True;VERB NOUN ADJ;True;True;lin;0.5;keep_unique;0.3;0.459273797841;0.220849981838;0.911544227886;0.355555555556
True;VERB NOUN ADJ;True;True;lin;0.5;keep_unique;0.5;0.373895976447;0.0759171812568;0.963133640553;0.140740740741
True;VERB NOUN ADJ;True;True;lin;0.5;keep_unique;0.7;0.342983316977;0.0279694878315;0.974683544304;0.0543785310734
True;VERB NOUN ADJ;True;True;lin;0.5;keep_unique;0.9;0.335132482826;0.0156193243734;1.0;0.0307582260372
True;VERB NOUN ADJ;True;True;lin;0.9;keep_unique;0.1;0.623159960746;0.576462041409;0.810935104752;0.673885350318
True;VERB NOUN ADJ;True;True;lin;0.9;keep_unique;0.3;0.455348380765;0.214674900109;0.91063174114;0.347442680776
True;VERB NOUN ADJ;True;True;lin;0.9;keep_unique;0.5;0.373405299313;0.0751907010534;0.962790697674;0.13948787062
True;VERB NOUN ADJ;True;True;lin;0.9;keep_unique;0.7;0.343473994112;0.0286959680349;0.975308641975;0.0557515878617
True;VERB NOUN ADJ;True;True;lin;0.9;keep_unique;0.9;0.335132482826;0.0156193243734;1.0;0.0307582260372
True;VERB NOUN ADJ;True;True;path;0.1;keep_unique;0.1;0.644504416094;0.687976752633;0.762479871176;0.723314874928
True;VERB NOUN ADJ;True;True;path;0.1;keep_unique;0.3;0.489695780177;0.293861242281;0.856084656085;0.437533802055
True;VERB NOUN ADJ;True;True;path;0.1;keep_unique;0.5;0.387144259078;0.0984380675627;0.94425087108;0.178289473684
True;VERB NOUN ADJ;True;True;path;0.1;keep_unique;0.7;0.350588812561;0.0395931710861;0.973214285714;0.0760907504363
True;VERB NOUN ADJ;True;True;path;0.1;keep_unique;0.9;0.339057899902;0.0217944061024;0.983606557377;0.0426439232409
True;VERB NOUN ADJ;True;True;path;0.5;keep_unique;0.1;0.622423945044;0.576462041409;0.809693877551;0.673456397199
True;VERB NOUN ADJ;True;True;path;0.5;keep_unique;0.3;0.456575073602;0.216854340719;0.91006097561;0.350249339982
True;VERB NOUN ADJ;True;True;path;0.5;keep_unique;0.5;0.374386653582;0.0766436614602;0.963470319635;0.14199192463
True;VERB NOUN ADJ;True;True;path;0.5;keep_unique;0.7;0.343719332679;0.0290592081366;0.975609756098;0.0564373897707
True;VERB NOUN ADJ;True;True;path;0.5;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADJ;True;True;path;0.9;keep_unique;0.1;0.622423945044;0.576462041409;0.809693877551;0.673456397199
True;VERB NOUN ADJ;True;True;path;0.9;keep_unique;0.3;0.456575073602;0.216854340719;0.91006097561;0.350249339982
True;VERB NOUN ADJ;True;True;path;0.9;keep_unique;0.5;0.374386653582;0.0766436614602;0.963470319635;0.14199192463
True;VERB NOUN ADJ;True;True;path;0.9;keep_unique;0.7;0.343719332679;0.0290592081366;0.975609756098;0.0564373897707
True;VERB NOUN ADJ;True;True;path;0.9;keep_unique;0.9;0.335377821394;0.0159825644751;1.0;0.0314622810154
True;VERB NOUN ADJ;True;True;wup;0.1;keep_unique;0.1;0.654808635918;0.761351253178;0.736472241743;0.748705125915
True;VERB NOUN ADJ;True;True;wup;0.1;keep_unique;0.3;0.507360157017;0.343625136215;0.824760244115;0.485128205128
True;VERB NOUN ADJ;True;True;wup;0.1;keep_unique;0.5;0.394504416094;0.116600072648;0.899159663866;0.206430868167
True;VERB NOUN ADJ;True;True;wup;0.1;keep_unique;0.7;0.355004906771;0.0483109335271;0.93661971831;0.0918825561313
True;VERB NOUN ADJ;True;True;wup;0.1;keep_unique;0.9;0.342983316977;0.0279694878315;0.974683544304;0.0543785310734
True;VERB NOUN ADJ;True;True;wup;0.5;keep_unique;0.1;0.626104023553;0.605158009444;0.792201616738;0.686161449753
True;VERB NOUN ADJ;True;True;wup;0.5;keep_unique;0.3;0.462463199215;0.229204504177;0.901428571429;0.365479293368
